Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
11;5;Greedy;[27, 4, 17, 18, 28];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
12;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
12;2;Greedy;[5, 19];[1.0, 0.9833333333333333]
12;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
12;3;Greedy;[5, 19, 32];[1.0, 0.9833333333333333, 0.9833333333333333]
12;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
12;4;Greedy;[5, 19, 32, 41];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
12;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
12;5;Greedy;[5, 19, 32, 41, 18];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.016666666666666666]
13;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
13;2;Greedy;[32, 41];[1.0, 0.01639344262295082]
13;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
13;3;Greedy;[32, 41, 1];[1.0, 0.01639344262295082, 0.0]
13;4;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
13;4;Greedy;[32, 41, 1, 2];[1.0, 0.01639344262295082, 0.0, 0.0]
13;5;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
13;5;Greedy;[32, 41, 1, 2, 3];[1.0, 0.01639344262295082, 0.0, 0.0, 0.0]
14;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
14;2;Greedy;[33, 32];[1.0, 0.9672131147540983]
14;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
14;3;Greedy;[33, 32, 43];[1.0, 0.9672131147540983, 0.9672131147540983]
14;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
14;4;Greedy;[33, 32, 43, 44];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
14;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
14;5;Greedy;[33, 32, 43, 44, 6];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9508196721311475]
15;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
15;2;Greedy;[35, 30];[1.0, 0.9672131147540983]
15;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
15;3;Greedy;[35, 30, 31];[1.0, 0.9672131147540983, 0.9672131147540983]
15;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
15;4;Greedy;[35, 30, 31, 32];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
15;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
15;5;Greedy;[35, 30, 31, 32, 33];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
16;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
16;2;Greedy;[36, 9];[1.0, 0.9672131147540983]
16;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
16;3;Greedy;[36, 9, 10];[1.0, 0.9672131147540983, 0.9672131147540983]
16;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
16;4;Greedy;[36, 9, 10, 25];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
16;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
16;5;Greedy;[36, 9, 10, 25, 26];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
17;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
17;2;Greedy;[2, 3];[1.0, 0.8666666666666667]
17;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
17;3;Greedy;[2, 3, 1];[1.0, 0.8666666666666667, 0.016666666666666666]
17;4;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
17;4;Greedy;[2, 3, 1, 4];[1.0, 0.8666666666666667, 0.016666666666666666, 0.0]
17;5;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
17;5;Greedy;[2, 3, 1, 4, 5];[1.0, 0.8666666666666667, 0.016666666666666666, 0.0, 0.0]
18;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
18;2;Greedy;[20, 40];[1.0, 0.9836065573770492]
18;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
18;3;Greedy;[20, 40, 2];[1.0, 0.9836065573770492, 0.9672131147540983]
18;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
18;4;Greedy;[20, 40, 2, 3];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983]
18;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
18;5;Greedy;[20, 40, 2, 3, 4];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983, 0.9180327868852459]
19;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
19;2;Greedy;[5, 18];[1.0, 0.9833333333333333]
19;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
19;3;Greedy;[5, 18, 19];[1.0, 0.9833333333333333, 0.9833333333333333]
19;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
19;4;Greedy;[5, 18, 19, 41];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
19;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
19;5;Greedy;[5, 18, 19, 41, 42];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
20;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
20;2;Greedy;[34, 32];[1.0, 0.9672131147540983]
20;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
20;3;Greedy;[34, 32, 33];[1.0, 0.9672131147540983, 0.9672131147540983]
20;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
20;4;Greedy;[34, 32, 33, 43];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
20;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
20;5;Greedy;[34, 32, 33, 43, 44];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
21;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
21;2;Greedy;[6, 44];[1.0, 0.9833333333333333]
21;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
21;3;Greedy;[6, 44, 43];[1.0, 0.9833333333333333, 0.016666666666666666]
21;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
21;4;Greedy;[6, 44, 43, 1];[1.0, 0.9833333333333333, 0.016666666666666666, 0.0]
21;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
21;5;Greedy;[6, 44, 43, 1, 2];[1.0, 0.9833333333333333, 0.016666666666666666, 0.0, 0.0]
22;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
22;2;Greedy;[45, 6];[1.0, 0.9672131147540983]
22;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
22;3;Greedy;[45, 6, 31];[1.0, 0.9672131147540983, 0.9672131147540983]
22;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
22;4;Greedy;[45, 6, 31, 44];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
22;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
22;5;Greedy;[45, 6, 31, 44, 46];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
23;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
23;2;Greedy;[47, 8];[1.0, 0.9672131147540983]
23;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
23;3;Greedy;[47, 8, 7];[1.0, 0.9672131147540983, 0.9016393442622951]
23;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
23;4;Greedy;[47, 8, 7, 6];[1.0, 0.9672131147540983, 0.9016393442622951, 0.8524590163934426]
23;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
23;5;Greedy;[47, 8, 7, 6, 46];[1.0, 0.9672131147540983, 0.9016393442622951, 0.8524590163934426, 0.03278688524590164]
24;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
24;2;Greedy;[8, 7];[1.0, 0.9672131147540983]
24;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
24;3;Greedy;[8, 7, 6];[1.0, 0.9672131147540983, 0.9180327868852459]
24;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
24;4;Greedy;[8, 7, 6, 1];[1.0, 0.9672131147540983, 0.9180327868852459, 0.0]
24;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
24;5;Greedy;[8, 7, 6, 1, 2];[1.0, 0.9672131147540983, 0.9180327868852459, 0.0, 0.0]
25;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
25;2;Greedy;[48, 8];[1.0, 0.9672131147540983]
25;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
25;3;Greedy;[48, 8, 9];[1.0, 0.9672131147540983, 0.9672131147540983]
25;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
25;4;Greedy;[48, 8, 9, 10];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
