Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
13;3;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;3;Greedy;[32, 41, 1];[61, 1, 0]
13;4;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;4;Greedy;[32, 41, 1, 2];[61, 1, 0, 0]
13;5;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;5;Greedy;[32, 41, 1, 2, 3];[61, 1, 0, 0, 0]
14;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
14;2;Greedy;[33, 32];[61, 59]
14;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
14;3;Greedy;[33, 32, 43];[61, 59, 59]
14;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
14;4;Greedy;[33, 32, 43, 44];[61, 59, 59, 59]
14;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
14;5;Greedy;[33, 32, 43, 44, 6];[61, 59, 59, 59, 58]
15;2;Greedy+ev+bw;[1, 2];[0.970710754586259, 0.01825739883963369]
15;2;Greedy;[35, 30];[61, 59]
15;3;Greedy+ev+bw;[1, 2, 3];[0.970710754586259, 0.01825739883963369, 0.01825739883963369]
15;3;Greedy;[35, 30, 31];[61, 59, 59]
15;4;Greedy+ev+bw;[1, 2, 3, 4];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
15;4;Greedy;[35, 30, 31, 32];[61, 59, 59, 59]
15;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
15;5;Greedy;[35, 30, 31, 32, 33];[61, 59, 59, 59, 59]
16;2;Greedy+ev+bw;[1, 2];[0.9707105983998947, 0.018898244956172167]
16;2;Greedy;[36, 9];[61, 59]
16;3;Greedy+ev+bw;[1, 2, 3];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167]
16;3;Greedy;[36, 9, 10];[61, 59, 59]
16;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167]
16;4;Greedy;[36, 9, 10, 25];[61, 59, 59, 59]
16;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167]
16;5;Greedy;[36, 9, 10, 25, 26];[61, 59, 59, 59, 59]
17;2;Greedy+ev+bw;[1, 2];[0.9816496580927726, 0.0408248290463863]
17;2;Greedy;[2, 3];[60, 52]
17;3;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;3;Greedy;[2, 3, 1];[60, 52, 1]
17;4;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;4;Greedy;[2, 3, 1, 4];[60, 52, 1, 0]
17;5;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;5;Greedy;[2, 3, 1, 4, 5];[60, 52, 1, 0, 0]
18;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
18;2;Greedy;[20, 40];[61, 60]
18;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
18;3;Greedy;[20, 40, 2];[61, 60, 59]
18;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
18;4;Greedy;[20, 40, 2, 3];[61, 60, 59, 59]
18;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
18;5;Greedy;[20, 40, 2, 3, 4];[61, 60, 59, 59, 56]
19;2;Greedy+ev+bw;[1, 2];[0.9707105961307645, 0.020412438191030963]
19;2;Greedy;[5, 18];[60, 59]
19;3;Greedy+ev+bw;[1, 2, 3];[0.9707105961307645, 0.020412438191030963, 0.020412438191030963]
19;3;Greedy;[5, 18, 19];[60, 59, 59]
19;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707105961307645, 0.020412438191030963, 0.020412438191030963, 0.020412438191030963]
19;4;Greedy;[5, 18, 19, 41];[60, 59, 59, 59]
19;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707105961307645, 0.020412438191030963, 0.020412438191030963, 0.020412438191030963, 0.020412438191030963]
19;5;Greedy;[5, 18, 19, 41, 42];[60, 59, 59, 59, 59]
20;2;Greedy+ev+bw;[1, 2];[0.9707107209610669, 0.02672610799832292]
20;2;Greedy;[34, 32];[61, 59]
20;3;Greedy+ev+bw;[1, 2, 3];[0.9707107209610669, 0.02672610799832292, 0.02672610799832292]
20;3;Greedy;[34, 32, 33];[61, 59, 59]
20;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707107209610669, 0.02672610799832292, 0.02672610799832292, 0.02672610799832292]
20;4;Greedy;[34, 32, 33, 43];[61, 59, 59, 59]
20;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707107209610669, 0.02672610799832292, 0.02672610799832292, 0.02672610799832292, 0.02672610799832292]
20;5;Greedy;[34, 32, 33, 43, 44];[61, 59, 59, 59, 59]
21;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
21;2;Greedy;[6, 44];[60, 59]
21;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
21;3;Greedy;[6, 44, 43];[60, 59, 1]
21;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
21;4;Greedy;[6, 44, 43, 1];[60, 59, 1, 0]
21;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
21;5;Greedy;[6, 44, 43, 1, 2];[60, 59, 1, 0, 0]
22;2;Greedy+ev+bw;[1, 2];[0.9707107455535803, 0.02357020356122166]
22;2;Greedy;[45, 6];[61, 59]
22;3;Greedy+ev+bw;[1, 2, 3];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166]
22;3;Greedy;[45, 6, 31];[61, 59, 59]
22;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166]
22;4;Greedy;[45, 6, 31, 44];[61, 59, 59, 59]
22;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166]
22;5;Greedy;[45, 6, 31, 44, 46];[61, 59, 59, 59, 59]
23;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
23;2;Greedy;[47, 8];[61, 59]
23;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
23;3;Greedy;[47, 8, 7];[61, 59, 55]
23;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
23;4;Greedy;[47, 8, 7, 6];[61, 59, 55, 52]
23;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
23;5;Greedy;[47, 8, 7, 6, 46];[61, 59, 55, 52, 2]
24;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
24;2;Greedy;[8, 7];[61, 59]
24;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
24;3;Greedy;[8, 7, 6];[61, 59, 56]
24;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
24;4;Greedy;[8, 7, 6, 1];[61, 59, 56, 0]
24;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
24;5;Greedy;[8, 7, 6, 1, 2];[61, 59, 56, 0, 0]
25;2;Greedy+ev+bw;[1, 2];[0.9707107455535803, 0.02357020356122166]
25;2;Greedy;[48, 8];[61, 59]
25;3;Greedy+ev+bw;[1, 2, 3];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166]
25;3;Greedy;[48, 8, 9];[61, 59, 59]
25;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166]
25;4;Greedy;[48, 8, 9, 10];[61, 59, 59, 59]
25;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707107455535803, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166, 0.02357020356122166]
25;5;Greedy;[48, 8, 9, 10, 26];[61, 59, 59, 59, 59]
26;2;Greedy+ev+bw;[1, 2];[0.9707107987380486, 0.01767763937476379]
26;2;Greedy;[29, 30];[60, 59]
26;3;Greedy+ev+bw;[1, 2, 3];[0.9707107987380486, 0.01767763937476379, 0.01767763937476379]
26;3;Greedy;[29, 30, 31];[60, 59, 59]
26;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707107987380486, 0.01767763937476379, 0.01767763937476379, 0.01767763937476379]
26;4;Greedy;[29, 30, 31, 33];[60, 59, 59, 59]
26;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707107987380486, 0.01767763937476379, 0.01767763937476379, 0.01767763937476379, 0.01767763937476379]
26;5;Greedy;[29, 30, 31, 33, 34];[60, 59, 59, 59, 59]
27;2;Greedy+ev+bw;[1, 2];[0.9707105354448585, 0.013867532886207783]
27;2;Greedy;[49, 24];[61, 59]
27;3;Greedy+ev+bw;[1, 2, 3];[0.9707105354448585, 0.013867532886207783, 0.013867532886207783]
27;3;Greedy;[49, 24, 25];[61, 59, 59]
27;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707105354448585, 0.013867532886207783, 0.013867532886207783, 0.013867532886207783]
27;4;Greedy;[49, 24, 25, 26];[61, 59, 59, 59]
27;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707105354448585, 0.013867532886207783, 0.013867532886207783, 0.013867532886207783, 0.013867532886207783]
27;5;Greedy;[49, 24, 25, 26, 29];[61, 59, 59, 59, 59]
28;2;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
28;2;Greedy;[10, 1];[2, 0]
28;3;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
28;3;Greedy;[10, 1, 2];[2, 0, 0]
28;4;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
28;4;Greedy;[10, 1, 2, 3];[2, 0, 0, 0]
28;5;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
28;5;Greedy;[10, 1, 2, 3, 4];[2, 0, 0, 0, 0]
29;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
29;2;Greedy;[50, 38];[61, 59]
29;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
29;3;Greedy;[50, 38, 37];[61, 59, 1]
29;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
29;4;Greedy;[50, 38, 37, 1];[61, 59, 1, 0]
29;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
29;5;Greedy;[50, 38, 37, 1, 2];[61, 59, 1, 0, 0]
30;2;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
30;2;Greedy;[38, 1];[1, 0]
30;3;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
30;3;Greedy;[38, 1, 2];[1, 0, 0]
30;4;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
30;4;Greedy;[38, 1, 2, 3];[1, 0, 0, 0]
30;5;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
30;5;Greedy;[38, 1, 2, 3, 4];[1, 0, 0, 0, 0]
31;2;Greedy+ev+bw;[1, 2];[0.9707104593016703, 0.00990150607017847]
31;2;Greedy;[15, 16];[60, 59]
31;3;Greedy+ev+bw;[1, 2, 3];[0.9707104593016703, 0.00990150607017847, 0.00990150607017847]
31;3;Greedy;[15, 16, 20];[60, 59, 59]
31;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707104593016703, 0.00990150607017847, 0.00990150607017847, 0.00990150607017847]
31;4;Greedy;[15, 16, 20, 21];[60, 59, 59, 59]
31;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707104593016703, 0.00990150607017847, 0.00990150607017847, 0.00990150607017847, 0.00990150607017847]
31;5;Greedy;[15, 16, 20, 21, 22];[60, 59, 59, 59, 59]
32;2;Greedy+ev+bw;[1, 2];[0.9707108023628621, 0.013608252437944578]
32;2;Greedy;[23, 24];[60, 59]
32;3;Greedy+ev+bw;[1, 2, 3];[0.9707108023628621, 0.013608252437944578, 0.013608252437944578]
32;3;Greedy;[23, 24, 25];[60, 59, 59]
32;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707108023628621, 0.013608252437944578, 0.013608252437944578, 0.013608252437944578]
32;4;Greedy;[23, 24, 25, 26];[60, 59, 59, 59]
32;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707108023628621, 0.013608252437944578, 0.013608252437944578, 0.013608252437944578, 0.013608252437944578]
32;5;Greedy;[23, 24, 25, 26, 36];[60, 59, 59, 59, 59]
33;2;Greedy+ev+bw;[1, 2];[0.970710754586259, 0.01825739883963369]
33;2;Greedy;[51, 52];[61, 60]
33;3;Greedy+ev+bw;[1, 2, 3];[0.970710754586259, 0.01825739883963369, 0.01825739883963369]
33;3;Greedy;[51, 52, 23];[61, 60, 59]
33;4;Greedy+ev+bw;[1, 2, 3, 4];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
33;4;Greedy;[51, 52, 23, 38];[61, 60, 59, 59]
33;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
33;5;Greedy;[51, 52, 23, 38, 50];[61, 60, 59, 59, 59]
34;2;Greedy+ev+bw;[1, 2];[0.9707105856477666, 0.016222163327325186]
34;2;Greedy;[53, 38];[61, 59]
34;3;Greedy+ev+bw;[1, 2, 3];[0.9707105856477666, 0.016222163327325186, 0.016222163327325186]
34;3;Greedy;[53, 38, 50];[61, 59, 59]
34;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707105856477666, 0.016222163327325186, 0.016222163327325186, 0.016222163327325186]
34;4;Greedy;[53, 38, 50, 51];[61, 59, 59, 59]
34;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707105856477666, 0.016222163327325186, 0.016222163327325186, 0.016222163327325186, 0.016222163327325186]
34;5;Greedy;[53, 38, 50, 51, 52];[61, 59, 59, 59, 59]
35;2;Greedy+ev+bw;[1, 2];[0.9707106690085642, 0.050000006441805994]
35;2;Greedy;[56, 55];[61, 1]
35;3;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
35;3;Greedy;[56, 55, 1];[61, 1, 0]
35;4;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
35;4;Greedy;[56, 55, 1, 2];[61, 1, 0, 0]
35;5;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
35;5;Greedy;[56, 55, 1, 2, 3];[61, 1, 0, 0, 0]
36;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
36;2;Greedy;[12, 57];[61, 60]
36;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
36;3;Greedy;[12, 57, 11];[61, 60, 59]
36;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
36;4;Greedy;[12, 57, 11, 39];[61, 60, 59, 59]
36;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
36;5;Greedy;[12, 57, 11, 39, 56];[61, 60, 59, 59, 59]
37;2;Greedy+ev+bw;[1, 2];[0.9730098702643195, 0.009051081978538936]
37;2;Greedy;[1, 2];[60, 60]
37;3;Greedy+ev+bw;[1, 2, 3];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936]
37;3;Greedy;[1, 2, 12];[60, 60, 60]
37;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936]
37;4;Greedy;[1, 2, 12, 13];[60, 60, 60, 60]
37;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936]
37;5;Greedy;[1, 2, 12, 13, 14];[60, 60, 60, 60, 60]
