Contaminant(Node);Sensor2(cgmo);score2(cgmo);Coverage2(cgmo);Sensor2(ev+cgmo);score2(ev+cgmo);Coverage2(ev+cgmo);Sensor3(cgmo);score3(cgmo);Coverage3(cgmo);Sensor3(ev+cgmo);score3(ev+cgmo);Coverage3(ev+cgmo);Sensor4(cgmo);score4(cgmo);Coverage4(cgmo);Sensor4(ev+cgmo);score4(ev+cgmo);Coverage4(ev+cgmo);Sensor5(cgmo);score5(cgmo);Coverage5(cgmo);Sensor5(ev+cgmo);score5(ev+cgmo);Coverage5(ev+cgmo)
11;[4, 5];[0.5502040816326531, 0.5502040816326531];43.10;[4, 5];[0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6, 7];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6, 7];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6, 7, 8];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6, 7, 8];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10
12;[32, 5];[0.7555555555555555, 0.7555555555555555];8.62;[32, 5];[0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41, 18];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41, 18];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41, 18, 19];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41, 18, 19];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
13;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45
14;[32, 33];[0.7555555555555555, 0.7555555555555555];8.62;[32, 33];[0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6, 43];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6, 43];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6, 43, 44];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6, 43, 44];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
15;[32, 33];[0.5839080459770115, 0.5839080459770115];25.86;[32, 33];[0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34, 35];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34, 35];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34, 35, 6];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34, 35, 6];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86
16;[36, 37];[0.5899470899470899, 0.5899470899470899];24.14;[36, 37];[0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38, 7];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38, 7];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38, 7, 8];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38, 7, 8];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14
17;[1, 2];[4.0, 1.1666666666666665];5.17;[1, 2];[3.2659863237109046, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17
18;[2, 3];[0.7555555555555555, 0.7555555555555555];8.62;[2, 3];[0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4, 40];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4, 40];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4, 40, 20];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4, 40, 20];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
19;[32, 33];[0.605072463768116, 0.605072463768116];20.69;[32, 33];[0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34];[0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34, 5];[0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34, 5];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34, 5, 6];[0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34, 5, 6];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69
20;[32, 33];[0.6813186813186813, 0.6813186813186813];12.07;[32, 33];[0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34, 6];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34, 6];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34, 6, 42];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34, 6, 42];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07
